pick,player,nfl,pos,price,team
1,Jahmyr Gibbs,Det,RB,73,The Jesus
2,Bijan Robinson,Atl,RB,72,Fighting Artichokes
3,Joe Burrow,Cin,QB,14,Thunder Punch
4,Trey McBride,Ari,TE,34,BANG BUS
5,Josh Jacobs,GB,RB,14,Nah...Nah...Nah!
6,Broncos,Den,DEF,2,4th and Drunk
7,Jaxon Smith-Njigba,Sea,WR,69,Kupp My Balz
8,Jonathan Taylor,Ind,RB,59,Kupp My Balz
9,Derrick Henry,Bal,RB,42,BANG BUS
10,Zay Flowers,Bal,WR,18,BANG BUS
11,Justin Jefferson,Min,WR,45,Nah...Nah...Nah!
12,Amon-Ra St. Brown,Det,WR,56,TEABAGGERS
13,CeeDee Lamb,Dal,WR,44,4th and Drunk
14,Puka Nacua,LAR,WR,56,TEABAGGERS
15,Christian McCaffrey,SF,RB,59,Nah...Nah...Nah!
16,Ja'Marr Chase,Cin,WR,65,Thunder Punch
17,Drake London,Atl,WR,32,El Borracho
18,James Cook III,Buf,RB,65,BANG BUS
19,A.J. Brown,NE,WR,39,Fighting Artichokes
20,Saquon Barkley,Phi,RB,58,4th and Drunk
21,Josh Allen,Buf,QB,45,El Borracho
22,Lamar Jackson,Bal,QB,19,Thunder Punch
23,Cam Skattebo,NYG,RB,16,TEABAGGERS
24,Jeremiyah Love,Ari,RB,23,Nah...Nah...Nah!
25,Kyler Murray,Min,QB,7,Nah...Nah...Nah!
26,Nico Collins,Hou,WR,36,Fighting Artichokes
27,Tee Higgins,Cin,WR,26,4th and Drunk
28,Kenneth Walker III,KC,RB,48,4th and Drunk
29,George Pickens,Dal,WR,34,El Borracho
30,Tetairoa McMillan,Car,WR,19,Kupp My Balz
31,Chase Brown,Cin,RB,40,TEABAGGERS
32,Baker Mayfield,TB,QB,5,4th and Drunk
33,De'Von Achane,Mia,RB,40,The Jesus
34,Ashton Jeanty,LV,RB,30,Thunder Punch
35,Brock Bowers,LV,TE,30,Kupp My Balz
36,Cameron Dicker,LAC,K,2,The Jesus
37,Chris Olave,NO,WR,22,BANG BUS
38,DeVonta Smith,Phi,WR,22,Fighting Artichokes
39,Omarion Hampton,LAC,RB,35,El Borracho
40,Luther Burden III,Chi,WR,8,Thunder Punch
41,Kyren Williams,LAR,RB,25,PRotect Ya Neck
42,Justin Herbert,LAC,QB,11,TEABAGGERS
43,Jalen Hurts,Phi,QB,10,Thunder Punch
44,Rashee Rice,KC,WR,15,Thunder Punch
45,Colston Loveland,Chi,TE,14,PRotect Ya Neck
46,Texans,Hou,DEF,2,The Jesus
47,Terry McLaurin,Was,WR,8,Kupp My Balz
48,Javonte Williams,Dal,RB,15,PRotect Ya Neck
49,Malik Nabers,NYG,WR,28,The Jesus
50,Jameson Williams,Det,WR,5,PRotect Ya Neck
51,Jadarian Price,Sea,RB,19,The Jesus
52,Drake Maye,NE,QB,10,Fighting Artichokes
53,Breece Hall,NYJ,RB,17,PRotect Ya Neck
54,Ladd McConkey,LAC,WR,16,PRotect Ya Neck
55,Cowboys,Dal,DEF,1,Kupp My Balz
56,Vikings,Min,DEF,1,BANG BUS
57,Garrett Wilson,NYJ,WR,17,PRotect Ya Neck
58,Jaylen Waddle,Den,WR,17,PRotect Ya Neck
59,D'Andre Swift,Chi,RB,21,El Borracho
60,Marvin Harrison Jr.,Ari,WR,9,The Jesus
61,DJ Moore,Buf,WR,14,Nah...Nah...Nah!
62,Jayden Daniels,Was,QB,5,4th and Drunk
63,Dak Prescott,Dal,QB,1,Fighting Artichokes
64,Travis Etienne Jr.,NO,RB,16,PRotect Ya Neck
65,TreVeyon Henderson,NE,RB,4,Nah...Nah...Nah!
66,Eagles,Phi,DEF,1,BANG BUS
67,Tucker Kraft,GB,TE,2,Nah...Nah...Nah!
68,Emeka Egbuka,TB,WR,17,PRotect Ya Neck
69,Bucky Irving,TB,RB,12,PRotect Ya Neck
70,Jaylen Warren,Pit,RB,5,Fighting Artichokes
71,Christian Watson,GB,WR,7,El Borracho
72,Bhayshul Tuten,Jax,RB,7,Nah...Nah...Nah!
73,Seahawks,Sea,DEF,2,Thunder Punch
74,Rhamondre Stevenson,NE,RB,5,Fighting Artichokes
75,Quinshon Judkins,Cle,RB,11,PRotect Ya Neck
76,Chase McLaughlin,TB,K,1,BANG BUS
77,Rome Odunze,Chi,WR,5,Thunder Punch
78,Tyler Warren,Ind,TE,6,Thunder Punch
79,David Montgomery,Hou,RB,15,Thunder Punch
80,Parker Washington,Jax,WR,16,El Borracho
81,Isaiah Likely,NYG,TE,1,El Borracho
82,Kaelon Black,SF,RB,3,Nah...Nah...Nah!
83,Sam LaPorta,Det,TE,6,TEABAGGERS
84,Davante Adams,LAR,WR,9,The Jesus
85,Rico Dowdle,Pit,RB,4,4th and Drunk
86,Jakobi Meyers,Jax,WR,1,BANG BUS
87,DK Metcalf,Pit,WR,2,TEABAGGERS
88,Matthew Stafford,LAR,QB,6,PRotect Ya Neck
89,Mike Evans,SF,WR,4,The Jesus
90,Brian Thomas Jr.,Jax,WR,3,Nah...Nah...Nah!
91,J.K. Dobbins,Den,RB,2,Kupp My Balz
92,Carnell Tate,Ten,WR,4,Nah...Nah...Nah!
93,Kyle Pitts Sr.,Atl,TE,5,Thunder Punch
94,Chris Godwin Jr.,TB,WR,3,Fighting Artichokes
95,Chuba Hubbard,Car,RB,1,Kupp My Balz
96,Jayden Higgins,Hou,WR,1,BANG BUS
97,Michael Wilson,Ari,WR,6,Nah...Nah...Nah!
98,Chris Boswell,Pit,K,1,PRotect Ya Neck
99,Tony Pollard,Ten,RB,4,Thunder Punch
100,Josh Downs,Ind,WR,1,Thunder Punch
101,Aaron Jones Sr.,Min,RB,1,El Borracho
102,Jason Myers,Sea,K,1,4th and Drunk
103,Sam Darnold,Sea,QB,2,Nah...Nah...Nah!
104,Stefon Diggs,Was,WR,3,The Jesus
105,Jaxson Dart,NYG,QB,2,TEABAGGERS
106,Xavier Worthy,KC,WR,2,Kupp My Balz
107,Trevor Lawrence,Jax,QB,3,BANG BUS
108,Rams,LAR,DEF,6,PRotect Ya Neck
109,Caleb Williams,Chi,QB,7,BANG BUS
110,Jonathon Brooks,Car,RB,3,Kupp My Balz
