,DRAFTSHEET  -  10 Team  -  0.5 PPR  -  1QB(12)/2RB(48)/3WR(65)/1TE(24)/0[RB/WR/TE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLAYER SEARCH
,"Passing: 6 PPTD, 0.02 PPY, -2 Int  |  Rushing: 6 PPTD, 0.1 PPY  |  Receiving: 6 PPTD, 0.1 PPY, 0.5 PPR  |  Draft: use 'x' if drafted by someone else, 'o' if drafted by you  |  Updated: 2026-08-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE NAME HERE:
,QUARTERBACK,,,,,,,,,,RUNNING BACK,,,,,,,,,,WIDE RECEIVER,,,,,,,,,,Position:
,TIER,NAME,TM/BYE,PTS,VALUE,PS,ECR,DRAFT,,,TIER,NAME,TM/BYE,PTS,VALUE,PS,ECR,DRAFT,,,TIER,NAME,TM/BYE,PTS,VALUE,PS,ECR,DRAFT,,,Tier:
,1,Josh Allen,BUF/7,285,18,67%,26,,64,,1,Jahmyr Gibbs,DET/6,258,48,94%,1,,179,,1,Puka Nacua,LAR/11,236,42,95%,4,,155,,Name:
,2,Lamar Jackson,BAL/13,253,9,50%,37,,31,,1,Bijan Robinson,ATL/11,243,44,89%,2,,165,,1,Ja'Marr Chase,CIN/6,234,41,90%,3,,153,,TM/BYE:
,2,Drake Maye,NE/11,241,6,40%,45,,20,,2,Christian McCaffrey,SF/8,225,39,85%,7,,147,,1,Jaxon Smith-Njigba,SEA/11,228,39,85%,5,,147,,PTS:
,3,Jayden Daniels,WAS/7,240,6,31%,60,,18,,2,Jonathan Taylor,IND/13,222,39,80%,8,,144,,1,Amon-Ra St. Brown,DET/6,218,37,81%,6,,137,,VALUE:
,2,Jalen Hurts,PHI/10,243,7,19%,63,,22,,3,De'Von Achane,MIA/6,198,32,77%,16,,119,,2,Justin Jefferson,MIN/6,185,28,77%,11,,104,,PS:
,3,Joe Burrow,CIN/6,239,6,10%,50,,18,,3,Derrick Henry,BAL/13,197,32,73%,20,,118,,2,CeeDee Lamb,DAL/14,184,28,74%,9,,103,,ECR:
,4,Trevor Lawrence,JAC/7,227,2,7%,75,,5,,3,James Cook III,BUF/7,196,32,69%,10,,117,,2,Drake London,ATL/11,181,27,71%,13,,100,,Drafted?:
,4,Jaxson Dart,NYG/8,225,2,6%,98,,3,,3,Chase Brown,CIN/6,191,31,66%,12,,113,,2,A.J. Brown,NE/11,176,26,68%,15,,95,,
,4,Brock Purdy,SF/8,222,1,6%,91,,0,,3,Saquon Barkley,PHI/10,188,30,62%,14,,110,,2,Rashee Rice,KC/5,175,25,64%,29,,93,,
,4,Dak Prescott,DAL/14,226,2,3%,77,,4,,3,Kenneth Walker III,KC/5,179,27,59%,21,,100,,2,George Pickens,DAL/14,173,25,61%,23,,92,,
,4,Caleb Williams,CHI/10,227,2,1%,67,,5,,3,Ashton Jeanty,LV/13,178,27,56%,22,,100,,2,Chris Olave,NO/8,173,25,59%,24,,91,,
,4,Justin Herbert,LAC/7,223,1,0%,70,,1,,3,Jeremiyah Love,ARI/14,177,27,53%,44,,98,,2,Nico Collins,HOU/8,170,24,56%,17,,89,,
,4,Patrick Mahomes II,KC/5,221,1,0%,104,,0,,3,Omarion Hampton,LAC/7,177,27,50%,19,,98,,2,Malik Nabers,NYG/8,164,23,53%,28,,82,,
,4,Bo Nix,DEN/10,217,1,0%,103,,-4,,3,Josh Jacobs,GB/11,174,26,47%,38,,96,,3,Zay Flowers,BAL/13,157,21,50%,31,,76,,
,4,Matthew Stafford,LAR/11,219,1,0%,110,,-3,,4,Kyren Williams,LAR/11,172,26,44%,32,,94,,3,DeVonta Smith,PHI/10,154,20,48%,30,,73,,
,5,Jared Goff,DET/6,206,1,0%,112,,-16,,4,Breece Hall,NYJ/13,170,25,41%,36,,92,,3,Tetairoa McMillan,CAR/5,151,19,46%,35,,69,,
,5,Baker Mayfield,TB/10,196,1,0%,120,,-25,,4,Javonte Williams,DAL/14,170,25,38%,34,,91,,3,Garrett Wilson,NYJ/13,150,19,44%,39,,68,,
,6,Kyler Murray,MIN/6,193,1,0%,122,,-29,,4,Travis Etienne Jr.,NO/8,164,23,36%,46,,85,,3,Tee Higgins,CIN/6,148,18,41%,33,,67,,
,6,Tyler Shough,NO/8,185,1,0%,127,,-36,,4,Cam Skattebo,NYG/8,162,23,33%,52,,83,,3,Emeka Egbuka,TB/10,144,17,39%,43,,63,,
,6,Jordan Love,GB/11,185,1,0%,123,,-37,,4,D'Andre Swift,CHI/10,158,22,31%,49,,80,,3,Davante Adams,LAR/11,141,16,37%,48,,59,,
,7,Malik Willis,MIA/6,176,1,0%,137,,-46,,4,Bucky Irving,TB/10,157,21,28%,55,,78,,3,Ladd McConkey,LAC/7,140,16,36%,41,,58,,
,7,Daniel Jones,IND/13,177,1,0%,157,,-44,,4,Quinshon Judkins,CLE/11,153,21,26%,56,,75,,3,Terry McLaurin,WAS/7,137,16,34%,47,,56,,
,7,Sam Darnold,SEA/11,173,1,0%,142,,-48,,5,Bhayshul Tuten,JAC/7,148,19,24%,64,,69,,3,Jaylen Waddle,DEN/10,137,15,32%,40,,55,,
,7,C.J. Stroud,HOU/8,169,1,0%,147,,-53,,5,Jadarian Price,SEA/11,146,19,22%,66,,67,,3,Jameson Williams,DET/6,136,15,30%,54,,54,,
,8,Bryce Young,CAR/5,162,1,0%,172,,-60,,5,David Montgomery,HOU/8,142,18,20%,57,,64,,4,Luther Burden III,CHI/10,131,14,29%,51,,50,,
,9,Cam Ward,TEN/9,149,1,0%,155,,-73,,5,TreVeyon Henderson,NE/11,135,16,18%,65,,56,,4,DJ Moore,BUF/7,129,14,27%,58,,48,,
,9,Geno Smith,NYJ/13,146,1,0%,195,,-76,,5,Jaylen Warren,PIT/9,131,15,16%,74,,52,,4,Rome Odunze,CHI/10,127,13,26%,62,,46,,
,9,Jacoby Brissett,ARI/14,142,1,0%,184,,-80,,5,Tony Pollard,TEN/9,130,15,15%,79,,52,,4,Mike Evans,SF/8,126,13,24%,61,,44,,
,9,Aaron Rodgers,PIT/9,140,1,0%,205,,-82,,5,Rhamondre Stevenson,NE/11,130,15,13%,71,,52,,4,Christian Watson,GB/11,125,12,23%,59,,44,,
,10,Fernando Mendoza,LV/13,116,1,0%,230,,-106,,5,Rico Dowdle,PIT/9,126,13,12%,82,,48,,4,Marvin Harrison Jr.,ARI/14,120,11,21%,72,,39,,
,11,Deshaun Watson,CLE/11,85,1,0%,279,,-137,,5,J.K. Dobbins,DEN/10,124,13,10%,87,,45,,4,Carnell Tate,TEN/9,119,11,20%,73,,37,,
,11,Tua Tagovailoa,ATL/11,78,1,0%,246,,-144,,6,Chuba Hubbard,CAR/5,117,11,9%,93,,38,,4,DK Metcalf,PIT/9,118,11,19%,78,,37,,
,11,Michael Penix Jr.,ATL/11,75,1,0%,268,,-147,,6,Jonathon Brooks,CAR/5,116,11,8%,85,,37,,4,Courtland Sutton,DEN/10,117,10,18%,86,,35,,
,12,Shedeur Sanders,CLE/11,46,1,0%,282,,-175,,6,Kyle Monangai,CHI/10,107,9,7%,111,,29,,4,Alec Pierce,IND/13,117,10,17%,97,,35,,
,12,Kirk Cousins,LV/13,39,1,0%,270,,-182,,6,RJ Harvey,DEN/10,107,8,6%,100,,29,,4,Parker Washington,JAC/7,116,10,16%,68,,34,,
,13,J.J. McCarthy,MIN/6,15,1,0%,333,,-207,,6,Jacory Croskey-Merritt,WAS/7,106,8,5%,99,,28,,4,Brian Thomas Jr.,JAC/7,113,9,15%,76,,31,,
,13,Carson Beck,ARI/14,15,1,0%,329,,-207,,6,Rachaad White,WAS/7,106,8,4%,114,,27,,5,Michael Pittman Jr.,PIT/9,108,8,14%,88,,26,,
